"Group","ID","Tuning Notes","Tier","Obscurity","Base Value","Tags","Prefab REF","Move Set","Heft","Trigger Game Effect","Active Traits","Passive Traits","Charges / Durability","Kind","Bone REF","Strike Game Effect","Projectile Speed","Ammo ID","Ammo Use","Cooldown","ActorBody REF","Crafting Recipe","Unique","Max Count"
"PyramidSword","patchOver_AmbassadorGreatsword",2,4,0,4000,,"eq-weapon-greatsword-ambassador | WeaponBase","ms-weapon-greatsword","Ultraheavy","Shoot_AmbassadorGem","Pierce","Speed -2, Unblockable, AggroGemeaters",,"Weapon","j_r_weapon","HitDamage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"GreatSword","patchOver_GreatswordTuln",2,4,0,3000,,"eq-weapon-greatsword-tuln | WeaponBase","ms-weapon-greatsword","Ultraheavy",,"Pierce","Speed +5",,"Weapon","j_r_weapon","HitDamage, BrutalBleed, SpillBlood",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"ShortSword","patchOver_ProngedBlade",2,3,0,1500,,"eq-weapon-shortsword-pronged_blade | WeaponBase","ms-weapon-shortsword","Light",,"Pierce",,,"Weapon","j_r_weapon","HitDamage, BrutalBleed",,,,,,,,
"ShortSword","patchOver_SpectralShiv",2,2,0,675,,"eq-weapon-shortsword-zigzag | ghostweapon","ms-weapon-shortsword","Light",,"Arcane","Speed +5",,"Weapon","j_r_weapon","HitDamage",,,,,,"PariahBlade_Comp, ShadowbornSkin",,
"ShortSword","patchOver_BophasSickblade",2,1,0,500,,"eq-weapon-shortsword-khopesh | poisonweapon","ms-weapon-shortsword","Heavy",,"Acid",,,"Weapon","j_r_weapon","HitDamage",,,,,,"BophasCutter_Comp, Fungus",,
"ShortSword","patchOver_Stilletto",2,1,0,200,,"eq-weapon-shortsword-intricate_stilletto | WeaponBase","ms-weapon-shortsword","Light",,"Pierce","AggroGemeaters",,"Weapon","j_r_weapon","StillettoClassism",,,,,,,,
"ShortSword","patchOver_BrokenBottle",2,1,0,200,,"eq-weapon-shortsword-broken_bottle | WeaponBase","ms-weapon-shortsword","Light",,"Pierce","Aggravating",,"Weapon","j_r_weapon","HitDamage, ThrakBrawl, Ruckus_Tiny",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Mace","patchOver_ShellMaceHammer",2,2,0,1800,,"eq-weapon-hammer-shellmace | WeaponBase","ms-weapon-hammer","Ultraheavy",,"Arcane","ArcaneResist, GrineWeakness, IceResist",,"Weapon","j_r_weapon","HitDamage, MaybeSpawnShellMage",,,,,,"StaffOfUnpronouncable_Comp, ShellMageShell",,
,,,,,,,,,,,,,,,,,,,,,,,,
"Hammer","patchOver_SkullHammer",2,3,0,1700,,"eq-weapon-hammer-skull | WeaponBase","ms-weapon-hammer","Heavy",,"Bash","ScareSkeletons",,"Weapon","j_r_weapon","HitDamage, ShieldWailKnockback",,,,,,,,
"Hammer","patchOver_HealingHam",2,2,0,500,,"eq-weapon-mace-black_forest_ham | WeaponBase","ms-weapon-hammer","Heavy",,"Bash","ExhaustionRegeneration",,"Weapon","j_r_weapon","HitDamage, OthersRecoverExhaustionTiny",,,,,,"TornFlesh, TornFlesh, TornFlesh, BoneMatter, Metal, Metal, EssentialOil",,
"Hammer","patchOver_MaxwellHammer",2,2,0,700,,"eq-weapon-hammer-mallet | WeaponBase","ms-weapon-hammer","Heavy",,"Bash, Pierce",,,"Weapon","j_r_weapon","HitDamage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"LongSword","patchOver_RavensTalon",2,3,0,2200,,"eq-weapon-rapier-ravens_talon | WeaponBase","ms-weapon-rapier","Heavy",,"Pierce","AcidWeakness, BashWeakness, PierceWeakness, FireWeakness, Speed +6, SprintModifier +30, JumpModifier + 30, IdentifyAllPotionsAndScrolls, Armor -1, AttackBonus + 1",,"Weapon","j_r_weapon","HitDamage",,,,,,,,
"ShortSword","patchOver_WingedBlade",2,2,0,875,,"eq-weapon-shortsword-wing_blade | iceweapon","ms-weapon-shortsword","Light","Shoot_IceShard","Ice","IceResist",,"Weapon","j_r_weapon","HitDamage",,,,,,"RavensWing_Comp, Ice Cubes",,
"LongSword","patchOver_SwordOfAli",2,2,0,345,,"eq-weapon-longsword-crescent | arcaneweapon","ms-weapon-longsword","Medium",,"Pierce",,,"Weapon","j_r_weapon","HitDamageNoFriendly",,,,,,,,
"LongSword","GrineCurvedSword",2,1,0,350,,"eq-weapon-longsword-starter | grineweapon","ms-weapon-longsword","Heavy",,"Grine",,,"Weapon","j_r_weapon","HitDamage",,,,,,"BaseLongsword_Comp, Metal",,
"LongSword","patchOver_ProngedHilt",2,1,0,750,,"eq-weapon-longsword-pronged_hilt | WeaponBase","ms-weapon-longsword","Ultraheavy",,"Pierce",,,"Weapon","j_r_weapon","HitDamage",,,,,,,,
"LongSword","patchOver_ThermiasBlade",2,2,0,955,,"eq-weapon-longsword-claymore | fireweapon","ms-weapon-longsword","Heavy",,"Fire","FireResist",,"Weapon","j_r_weapon","HitDamage, WeaponGrow",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Axe","patchOver_VikingAxe",2,2,0,800,,"eq-weapon-axe-viking | WeaponBase","ms-weapon-axe","Medium",,"Pierce","IceResist",,"Weapon","j_r_weapon","HitDamage, SpeedStack",,,,,,"HoardmanHatchetNormal_Comp, EssentialOil, Metal, BoneMatter",,
"Axe","patchOver_BattleAxe",2,2,0,725,,"eq-weapon-axe-double_arc_golden | WeaponBase","ms-weapon-axe","Heavy",,"Fire",,,"Weapon","j_r_weapon","HitDamage, StunBlastSmall",,,,,,"ArcAxe_Comp, Metal, Embers",,
"Axe","patchOver_ArcAxe",2,1,0,700,,"eq-weapon-axe-double_arc | WeaponBase","ms-weapon-axe","Medium",,"Pierce",,,"Weapon","j_r_weapon","HitDamage",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Shield","patchOver_IntricateShield",2,4,0,3750,,"eq-weapon-shield-buckler-intricate_guard | WeaponBase","ms-weapon-shield-buckler","Light",,"Pierce","DiminishedDamage +90, AggroGemeaters",,"Shield","j_l_weapon","HitDamage",,,,,,,,
