"patchOver_FrostArmor/Name (Identified)","Frost Armor","Frost Armor","Frost Armor","Frost Armor","Frost Armor","Frost Armor","Frost Armor","Frost Armor"
"patchOver_FrostArmor/Description (Identified)","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having.","With this armor the cold becomes your friend while the heat becomes a grumpy neighbor who resents all the fun you're having."
"patchOver_FrostArmor/UseText","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold.","Suddenly cold things just don't feel so cold."
"patchOver_FrostArmor/Icon (Identified)","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor","im-icon-armor-armor"
,,,,,,,,
"patchOver_AmbassadorGreatsword/Name (Identified)","The Ambassador","The Ambassador","The Ambassador","The Ambassador","The Ambassador","The Ambassador","The Ambassador","The Ambassador"
"patchOver_AmbassadorGreatsword/Description (Identified)","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats.","A greatsword wielded by only the most masterful of diplomats."
"patchOver_AmbassadorGreatsword/Icon (Identified)","im-icon-weapon-heavysword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword"
,,,,,,,,
"patchOver_GreatswordTuln/Name (Identified)","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln","Greatsword of Tuln"
"patchOver_GreatswordTuln/Description (Identified)","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down.","Tuln was not a mathematician by any means, preferring to aggressively round down."
"patchOver_GreatswordTuln/Icon (Identified)","im-icon-weapon-heavysword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword","im-icon-weapon-greatsword"
,,,,,,,,
"patchOver_HealingHam/Name (Identified)","The Healing Ham","The Healing Ham","The Healing Ham","The Healing Ham","The Healing Ham","The Healing Ham","The Healing Ham","The Healing Ham"
"patchOver_HealingHam/Description (Identified)","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts.","If your friend gets hungry, feed them ham.  Even if it hurts."
"patchOver_HealingHam/Icon (Identified)","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron","im-icon-item-iron"
,,,,,,,,
"patchOver_MaxwellHammer/Name (Identified)","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer","Maxwell's Silver Hammer"
"patchOver_MaxwellHammer/Description (Identified)","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. ","Maxwell acquired this hammer when its previous owner suddenly stopped being alive enough to have any reasonable claim to it. "
"patchOver_MaxwellHammer/Icon (Identified)","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer","im-icon-weapon-hammer"
,,,,,,,,
"patchOver_GrineCurvedSword/Name (Identified)","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword"
"patchOver_GrineCurvedSword/Description (Identified)","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry."
"patchOver_GrineCurvedSword/Name (Unidentified)","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword","Grine Curved Sword"
"patchOver_GrineCurvedSword/Description (Undentified)","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry.","A weirdly metallic example of grine weaponry."
"patchOver_GrineCurvedSword/Icon (Identified)","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword"
"patchOver_GrineCurvedSword/Icon (Unidentified)","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword","im-icon-weapon-mediumsword"
"patchOver_GrineCurvedSword/UseText","SWORDING","SWORDING","SWORDING","SWORDING","SWORDING","SWORDING","SWORDING","SWORDING"
,,,,,,,,
"patchOver_LargeWoodenShield/Name (Identified)","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield","Large Wooden Shield"
